Year,Mortgage Rates,3 month CD Rates,1-Year Treasury,3-Year Treasury,5-Year Treasury,10-Year Treasury,20-Year Treasury,Real GDP
1962,ND,ND,3.1,3.47,3.7,3.95,3.99,3810.10
1963,ND,ND,3.36,3.67,3.83,4,4.05,3976.10
1964,ND,ND,3.85,4.03,4.07,4.19,4.19,4205.30
1965,ND,4.34,4.15,4.22,4.25,4.28,4.27,4478.60
1966,ND,5.48,5.2,5.23,5.11,4.93,4.77,4773.90
1967,ND,5.02,4.88,5.03,5.1,5.07,5.01,4904.90
1968,ND,5.86,5.69,5.68,5.7,5.64,5.45,5145.90
1969,ND,7.76,7.12,7.02,6.93,6.67,6.32,5306.60
1970,,7.56,6.9,7.29,7.38,7.35,6.87,5316.40
1971,7.542,5.01,4.89,5.66,5.99,6.16,6.12,5491.40
1972,7.383,4.67,4.95,5.72,5.98,6.21,6.01,5780.00
1973,8.045,8.42,7.32,6.96,6.87,6.85,7.12,6106.40
1974,9.187,10.24,8.2,7.84,7.82,7.56,8.06,6073.40
1975,9.047,6.44,6.78,7.5,7.78,7.99,8.2,6060.90
1976,8.866,5.27,5.88,6.77,7.18,7.61,7.86,6387.40
1977,8.845,5.64,6.08,6.68,6.99,7.42,7.67,6682.80
1978,9.642,8.22,8.34,8.29,8.32,8.41,8.48,7052.70
1979,11.204,11.23,10.65,9.7,9.51,9.43,9.32,7276.00
1980,13.742,13.07,12,11.51,11.45,11.43,11.36,7257.30
1981,16.642,15.91,14.8,14.46,14.25,13.92,13.72,7441.50
1982,16.044,12.27,12.27,12.93,13.01,13.01,12.92,7307.30
1983,13.235,9.07,9.58,10.45,10.79,11.1,11.34,7642.30
1984,13.878,10.37,10.91,11.92,12.26,12.46,12.49,8195.30
1985,12.43,8.05,8.42,9.64,10.12,10.62,10.97,8537.00
1986,10.187,6.52,6.45,7.06,7.3,7.67,7.84,8832.60
1987,10.213,6.86,6.77,7.68,7.94,8.39,ND,9137.70
1988,10.342,7.73,7.65,8.26,8.48,8.85,ND,9519.40
1989,10.319,9.09,8.53,8.55,8.5,8.49,ND,9869.00
1990,10.129,8.15,7.89,8.26,8.37,8.55,ND,10055.10
1991,9.247,5.84,5.86,6.82,7.37,7.86,ND,10044.20
1992,8.39,3.68,3.89,5.3,6.19,7.01,ND,10398.00
1993,7.315,3.17,3.43,4.44,5.14,5.87,6.29,10684.20
1994,8.381,4.63,5.32,6.27,6.69,7.09,7.49,11114.60
1995,7.935,5.92,5.94,6.25,6.38,6.57,6.95,11413.00
1996,7.806,5.39,5.52,5.99,6.18,6.44,6.83,11843.60
1997,7.599,5.62,5.63,6.1,6.22,6.35,6.69,12370.30
1998,6.943,5.47,5.05,5.14,5.15,5.26,5.72,12924.90
1999,7.44,5.33,5.08,5.49,5.55,5.65,6.2,13543.80
2000,8.053,6.46,6.11,6.22,6.16,6.03,6.23,14096.00
2001,6.968,3.69,3.49,4.09,4.56,5.02,5.63,14230.70
2002,6.537,1.73,2,3.1,3.82,4.61,5.43,14472.70
2003,5.827,1.15,1.24,2.1,2.97,4.01,4.96,14877.30
2004,5.839,1.56,1.89,2.78,3.43,4.27,5.04,15449.80
2005,5.867,3.51,3.62,3.93,4.05,4.29,4.64,15988.00
2006,6.413,5.15,4.94,4.77,4.75,4.8,5,16433.10
2007,6.337,5.27,4.53,4.35,4.43,4.63,4.91,16762.40
2008,6.027,2.97,1.83,2.24,2.8,3.66,4.36,16781.50
2009,5.037,0.56,0.47,1.43,2.2,3.26,4.11,16349.10
2010,4.69,0.31,0.32,1.11,1.93,3.22,4.03,16789.80
2011,4.448,0.3,0.18,0.75,1.52,2.78,3.62,17052.40
2012,3.658,0.28,0.17,0.38,0.76,1.8,2.54,17442.80
2013,3.976,0.17,0.13,0.54,1.17,2.35,3.12,17812.20
2014,4.169,0.12,0.12,0.9,1.64,2.54,3.07,18261.70
2015,3.851,0.23,0.32,1.02,1.53,2.14,2.55,18799.60
2016,3.654,0.64,0.61,1,1.33,1.84,2.22,19141.70
2017,3.99,1.15,1.2,1.58,1.91,2.33,2.65,19612.10
2018,4.545,2.19,2.33,2.63,2.75,2.91,3.02,20193.90
2019,3.936,2.21,2.05,1.94,1.95,2.14,2.4,20715.70
2020,3.112,0.53,0.37,0.42,0.53,0.89,1.35,20267.60
2021,2.958,0.11,0.1,0.46,0.86,1.45,1.98,21494.80
2022,5.344,2.23,2.8,3.05,3,2.95,3.3,22034.80
2023,6.807,,5.08,4.3,4.06,3.96,4.26,22671.10
2024,6.721,,4.69,4.22,4.13,4.21,4.5,23305.00
